word_one	easiness_one	word_two	easiness_two	relatedness_judgment_easiness
Logik	1.5887280404567719	Trampel	-4.205915227532387	-2.005819797515869
Ehering	1.1312386095523834	Gestank	2.6945637315511703	-2.0774192810058594
Filzstift	-1.236615538597107	Gestank	2.6945637315511703	-2.083343267440796
Dekor	-4.277900390326977	Voraussicht	-9.307827413082123	-2.088102102279663
Egoismus	-5.623658895492554	Fremdkörper	-7.317862257361412	-2.089674234390259
Portion	1.8848784863948822	Schlafanzug	0.05377188324928284	-2.090285301208496
Tritt	5.9759720377624035	Zielsetzung	-9.369734287261963	-2.1039721965789795
Diener	4.948838196694851	Unvernunft	-9.013991370797157	-2.1056089401245117
Geruch	6.0035533383488655	Unvernunft	-9.013991370797157	-2.1102378368377686
Bauchweh	-1.2636765539646149	Logik	1.5887280404567719	-2.114043951034546
Aas	0.3766349283978343	Logik	1.5887280404567719	-2.114360809326172
Filzstift	-1.236615538597107	Schreck	1.122529048472643	-2.1170475482940674
Flut	3.843942305073142	Tugend	-2.3255178332328796	-2.118652582168579
Huhn	9.202502146363258	Motiv	2.5632340610027313	-2.119203567504883
Kastanie	-0.3792427182197571	Seite	12.505751194199547	-2.122272253036499
Schlafanzug	0.05377188324928284	Schrei	5.183623731136322	-2.1266796588897705
Einsicht	-2.077363073825836	Vagabund	-6.559552267193794	-2.1270124912261963
Dichter	2.7992759719491005	Kissen	7.090225178748369	-2.127094030380249
Motiv	2.5632340610027313	Pelikan	-2.187122419476509	-2.1289758682250977
Pelikan	-2.187122419476509	Schrei	5.183623731136322	-2.129946708679199
Einsicht	-2.077363073825836	Woge	-2.8034511134028435	-2.131821393966675
Gedicht	3.5261001884937286	Schlafanzug	0.05377188324928284	-2.1318318843841553
Allergie	-1.3147691935300827	Tugend	-2.3255178332328796	-2.1324470043182373
Egoismus	-5.623658895492554	Vegetation	-5.818114314228296	-2.1353561878204346
Kissen	7.090225178748369	Verkäufer	2.5692035406827927	-2.1391098499298096
Filzstift	-1.236615538597107	Herz	11.223403453826904	-2.1408700942993164
Idol	-0.2364078313112259	Schlafanzug	0.05377188324928284	-2.141184091567993
Spiel	11.976417370140553	Unvernunft	-9.013991370797157	-2.141653060913086
Schlafanzug	0.05377188324928284	Tango	-0.4860011413693428	-2.1418466567993164
Pfiff	0.8349706530570984	Schlafanzug	0.05377188324928284	-2.14190673828125
Schlafanzug	0.05377188324928284	Seite	12.505751194199547	-2.143125534057617
Logik	1.5887280404567719	Ration	-3.9064048528671265	-2.144505500793457
Huhn	9.202502146363258	Poet	-0.7001466602087021	-2.145655870437622
Bedürfnis	-2.3859115839004517	Perle	2.745215879753232	-2.146071434020996
